person_id,full_name,reported_gender,entity_status,lineage_status,created_from,created_on
P-04E64BF228,Jessica Caroline Coelho Dantas,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-F38EC4B288,Mariana Cabral Rolszt,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-C626E2F283,Ingridd Alves de Sousa,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-14FB0D5355,Elisabeth Ann Clay,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-DE7EEF0F14,Melissa Stricker Cueto,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-1B2726C256,Maria Carolina Barón Vicentini,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-282E0CB7F5,Sabrina Rogéria Ataide B. Gondim,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-3A366CE44C,Aghata Adriane Rabelo Fernandes,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-0863BF4B0F,Vitória Damiana Silva de Assis,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-8BA80EED6A,Karoline Silva Caramori,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-269A26A1D9,Larissa Campos Carvalho,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-1599542AE2,Yasmyn Castro,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-72F24A544E,Thaís Loureiro Felipe,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-D3073BA784,Thaynara Victoria Soares da Silva,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-80463AB749,Denise Krahn,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-7A35BEAC3B,Giovanah Oliveira da Silva,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-CDA4949E50,Kamilla Kelly de Souza,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-81EFC80345,Larissa Martins dos Santos,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-C9F333C721,Gislayne de Oliveira Ramos,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-CFB73E9C70,Beatriz Martins de Mendonça,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-A20A45C082,Andressa Nogueira Tolentino Guirau,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-C842F355C8,Cassia Moura Remesar,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-33E7F3BB04,Olivia Evelyn Schauer,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-0C15C27538,Elizabeth Katherine Mitrovic,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-5B2CB35BBC,Emily Elizabeth Ferreira,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-39FA819931,Natacha Amanda Ribeiro da Silva,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-5315AF0D80,Giovanna Xavier Carneiro,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-3A6A9355A5,Natália Zumba de Souza,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-92C9A02F64,Tamiris Fernanda da Silva,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-9DA7F1CD86,Ana Carolina de Andrade Lima Soares da Silva,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-BD0754DD6B,Josefine Beatrice Modig,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-30543AF452,Abbie Marie O'toole,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-4888A7EBF7,Gisele Constante Menezes Tavares,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-72CF4130D1,Giovanna Parmisano Leite,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-03F07FB129,Suellen Lima de Souza,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-0DC0595DAC,Isabely Sanches Ribeiro,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
P-DEA6D4A674,Adele Marie Fornarino,feminino,registro de atleta: identificado,sem promotor identificado,censo oficial IBJJF,2026-07-05
