student_id,student_name,teacher_id,teacher_name,confidence,source,evidence
12940,Cory Walker,1307,Lloyd Irvin,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rickson Gracie > J. Pereira > Leo Dalla > Lloyd Irvin > Cory Walker
1933,Craig Kukuk,515,Royler Gracie,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Royler Gracie > Craig Kukuk
v_john_simon,John Simon,705,John Will,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlos Gracie Jr > Jean Jacques Machado > Rigan Machado > John Will > John Simon > Lachlan Giles > Craig Jones
8682,Lachlan Giles,v_john_simon,John Simon,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlos Gracie Jr > Jean Jacques Machado > Rigan Machado > John Will > John Simon > Lachlan Giles > Craig Jones
8346,Craig Jones,8682,Lachlan Giles,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlos Gracie Jr > Jean Jacques Machado > Rigan Machado > John Will > John Simon > Lachlan Giles > Craig Jones
3185,Crezio Chaves,44,Helio Gracie,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Crezio Chaves
1108,Cristiano Carioca,guto-monteiro,Guto Monteiro,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Royler Gracie > Rolker Gracie > Guto Monteiro > Cristiano Carioca
2956,Cristiano Lazzarini,374,Vinicius Magalhaes,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Sr. > Helio Gracie > Carlos Gracie Junior > Vinicius Magalhães > Cristiano Lazzarini
159,Cristiano Marcello,515,Royler Gracie,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Royler Gracie > Cristiano Marcello
leka-vieira,Leka Vieira,v_aloisio_silva,Aloísio Silva,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Sr > Robson Gracie > Aloisio Silva > Leka Vieira > Cindy Omatsu
5781,Cynthia Omatsu,leka-vieira,Leka Vieira,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Sr > Robson Gracie > Aloisio Silva > Leka Vieira > Cindy Omatsu
996,Yuki Nakai,297,Carlos Gracie Junior,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Carlos Gracie Jr > Yuki Nakai > Daisuke Shiraki
9152,Daisuke Shiraki,996,Yuki Nakai,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Carlos Gracie Jr > Yuki Nakai > Daisuke Shiraki
1716,Andre Almeida,2062,Crezio de Souza,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Crézio de Souza > André Almeida > Leandro Escobar > Daniel Amorim Junior
3028,Leandro Escobar,1716,Andre Almeida,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Crézio de Souza > André Almeida > Leandro Escobar > Daniel Amorim Junior
11949,Daniel Amorim Junior,3028,Leandro Escobar,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Crézio de Souza > André Almeida > Leandro Escobar > Daniel Amorim Junior
872,Maximiliano Trombini,1097,Waldomiro Perez,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Bering > Valdomiro Junior > Milton Maximiano > Carlos Vieira > Daniel Azevedo
396,Carlos Vieira,872,Maximiliano Trombini,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Bering > Valdomiro Junior > Milton Maximiano > Carlos Vieira > Daniel Azevedo
708,Daniel Azevedo,396,Carlos Vieira,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rickson Gracie > Marcelo Bering > Valdomiro Junior > Milton Maximiano > Carlos Vieira > Daniel Azevedo
875,Lucas Leite,419,Leonardo Vieira,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Leonardo Vieira > Lucas Leite > Daniel Diniz
12419,Daniel Diniz,875,Lucas Leite,high,site_lineage_field,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Leonardo Vieira > Lucas Leite > Daniel Diniz
rodrigo-feijao,Rodrigo Feijão,78,Andre Pederneiras,high,site_lineage_field,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Carlson Gracie > André Pederneiras > Rodrigo Feijão > Daniel Garcia
