student_id,student_name,teacher_id,teacher_name,confidence,source,match_quality,evidence,source_url
8759,Maria Malyjasiak,390,Abmar Barbosa,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Abmar Barbosa, and a Pan American champion in the sport, having also an e",https://www.bjjheroes.com/?p=8759
367,Marlon Sandro,78,Andre Pederneiras,high,bio_extraction,exact,"Brazilian jiu-jitsu black belt under André Pederneiras, a skillset he used extensively inside the cage while becom",https://www.bjjheroes.com/?p=367
7645,Masahiro Iwasaki,492,Marco Barbosa,high,bio_extraction,exact,Brazilian jiu-jitsublack belt under Marco Barbosa(as well as a former student of Yasuhiro Miyamoto) who is re,https://www.bjjheroes.com/?p=7645
10509,Mathias Luna,8202,Ricardo Feliciano,high,bio_extraction,exact,"Brazilian jiu-jitsu black belt under Ricardo Feliciano(Pantcho) and Lucas Leiteof the Checkmat Team, who worked ex",https://www.bjjheroes.com/?p=10509
10094,Mauricio Antunes,1155,Cicero Costha,high,bio_extraction,exact,"Brazilian jiu-jitsublack belt under Cicero Costha, who worked extensively with Alexandre de Souza. One of the",https://www.bjjheroes.com/?p=10094
11926,Mayara Custodio,5523,Sebastian Lalli,high,bio_extraction,exact,"ódio is a jiu-jitsu black belt under Sebastian Lalli, who worked extensively with Leonardo Vieira and Norival Di",https://www.bjjheroes.com/?p=11926
8218,Mayko Araujo,419,Leonardo Vieira,high,bio_extraction,exact,"Brazilian jiu jitsublack belt under Leonardo Vieira, being also one of the top representatives of the Checkmatt",https://www.bjjheroes.com/?p=8218
9271,Mayssa Bastos,5869,Jorge Pereira,medium,bio_extraction,initial,"Brazilian jiu-jitsublack belt under Júlio César Pereira and Jair Court of the GF Team, who also worked extensively with",https://www.bjjheroes.com/?p=9271
8714,Maximiliano Carvalho,1633,Jose Olimpio,high,bio_extraction,exact,Brazilian jiu jitsublack belt under José Olímpio(Zé Radiola) and a member of ZR Team's international grappli,https://www.bjjheroes.com/?p=8714
11423,Meyram Maquine,693,Luiz Guilherme,high,bio_extraction,exact,"lves is a jiu-jitsu black belt under Luiz Guilherme, who also worked extensively under Lloyd Irvin and Alcenor",https://www.bjjheroes.com/?p=11423
