id,name,first_name,last_name,nickname,team,url,bio,is_historical
289,Alan do Nascimento,Alan,do Nascimento,Finfou,Checkmat,https://www.bjjheroes.com/?p=289,"Alan do Nascimento, or  “Finfou” as he is known in theJiu Jitsuworld, is an European Open Jiu Jitsu champion from the notoriousCheckmat academy. Alan Finfou started his Jiu Jitsu career withFernando “Terere”, but as Terere moved away from Rio de Janeiro, his tuition was handed toRicardo Vieirawith whom he earned his black belt. Alan Finfou is also part of a group of successful competitors to have been developed from the social project in the Cantagalo (Rio de Janeiro slum), a project run by Ricardo Vieira, Finfou has for the last few years, adopted Sweden as his second home where he teaches BJJ. Full Name:Alan Douglas Pereira do Nascimento",False
2583,Alan Moraes,Alan,Moraes,,Carlson Gracie,https://www.bjjheroes.com/?p=2583,"Alan Moraes is a jiu-jitsu black belt underCarlson Gracie Junior, and a former instructor at the world-famousCarlson Gracie Academyin Rio de Janeiro, from where he has produced several high-quality black belts, including world medallistSamir Chantre, and Brazilian national championBreno Bittencourt. Since leaving Carlson Gracie’s academy in 2016, Alan Moraes joined Ares BJJ, one of the top affiliations in the sport. Full Name:Alan Rodrigo de Moraes",False
12235,Alan Sanchez,Alan,Sanchez,,10th Planet,https://www.bjjheroes.com/?p=12235,"Alan Sanchez is a jiu-jitsu black belt under Adam “Big Red” Sachnoff and a representative of the 10th Planet team. Competing almost exclusively in grappling’s no-gi circuit, Sanchez gained notoriety while competing in the International Brazilian Jiu-Jitsu Federation (IBJJF) and in submission-only events where he conquered important medals, including trophies in the Finishers Sub-Only, Emerald City Invitational, and IBJJF World No-Gi Championships (2019 brown belt). Full Name:Alan Sanchez Perez",False
696,Alberto Carmona,Alberto,Carmona,Beto,Akxe,https://www.bjjheroes.com/?p=696,"Alberto “Beto” Carmona is a judo, and a Brazilian jiu jitsu 3rd degree black belt underOtávio Coutoand Vinicius Campelo of the Akxe Academy in Rio de Janeiro – Brazil. A successful competitor in both martial arts, Beto is also recognized for his coaching ability, being the head instructor of “Morada do Sol” Jiu Jitsu Academy, a school he runs with his wife,Adriana Pinto. Full Name:Antonio Alberto Carmona Pequeno de Barros",False
2611,Alberto Crane,Alberto,Crane,,Gracie Barra,https://www.bjjheroes.com/?p=2611,"Alberto Crane isBrazilian Jiu Jitsublack belt underVinicius “Draculino”being also the first American to become a black belt under theGracie Barra Academybanner. Alberto Crane stacked a series of accolades as a BJJ and MMA competitor as well as from a coaching stance, having produced several solid grapplers in his carreer as a coach. Full Name:Alberto Crane",False
9876,Alef Brito,Alef,Brito,,Ares JJ,https://www.bjjheroes.com/?p=9876,"Alef Brito Morais is aBrazilian jiu-jitsublack belt under Wellyton Menezes, Rildo Paiva, and Marcos Santana, who also worked extensively withOsvaldo Moizinho, being a representative of the Ares JJ team in the sport’s international circuit. After a stellar career in the colored belt divisions where Brito conquered numerous International Brazilian Jiu-Jitsu Federation (IBJJF) tournaments, Alef’s first head-turning moment as a fresh black belt took place at the Copa Podio Lightweight Grand Prix (2019), where he submitted World Championship silver medalTommy Langaker. Full Name:Alef José Soares Brito de Morais",False
7660,Alex Martins,Alex,Martins,,AMBJJ,https://www.bjjheroes.com/?p=7660,"Alex Martins is a Brazilian jiu jitsu black belt under Junior Cardoso and a member of Faustino Pina’s association, while being also the founder of the AMBJJ team in the United States. Martins became one of the top competitors in the North American grappling circuit during the 2010’s, particularly in the Masters divisions, where he conquered important titles such as the IBJJF World Master, American Nationals, New York Open and several other tournaments. Full Name:Alex Martins Do Nascimento",False
11746,Alex Munis,Alex,Munis,,,https://www.bjjheroes.com/?p=11746,"Alex Munis dos Santos is a jiu-jitsu black belt underIsaque BahienseandGabriel Figueiróas well as a representative of the Dream Art /Alliance Academycoalition, who worked extensively withRodrigo Feijãoand the Clube Feijão workgroup during the early stages of his professional career. Competing alongside his brothers,AndersonandErich Munis, Alex became widely recognized as one of the rising stars of the sport after his breakthrough performances in important tournaments of the international circuit, including at the 2020 Copa Podio Lightweight Grand Prix, a professional event that featured some of the top athletes in the sport. Alex earned a silver medal in the aforementioned GP as a brown belt, a deed he would repeat in his black belt debut, later that year. Full Name:Alex Munis dos Santos",False
13084,Alex Nguyen,Alex,Nguyen,,Standard JJ,https://www.bjjheroes.com/?p=13084,"My Bao Nguyen, commonly known as Alex Nguyen, is a black belt in jiu-jitsu underGreg Souderswho is widely regarded as one of the top no-gi / submission-grappling competitors of her generation. A reputation earned through her wins at important events such as the International Brazilian Jiu-Jitsu Federation (IBJJF) Pan American No-Gi Championships and other events, particularly under the submission-only ruleset. Full Name:My Bao Nguyen",False
1131,Alessandra Vieira,Alessandra,Vieira,Leka,,https://www.bjjheroes.com/?p=1131,"Alessandra Vieira, commonly known as Leka Vieira, is one of the most important figures in the history ofBrazilian Jiu Jitsu,being the first female black belt World Champion of the sport (1999). A true pioneer in this sport/martial art, Leka took women’s grappling to a higher level by raising mainstream awareness to that division, paving the way for the new generations to flourish. Vieira is also unanimously recognized as the first female to promote another female to black belt in Jiu Jitsu (Cindy Omatsu). Full name:Alessandra Vieira de Souza",False
1757,Alexander Trans,Alexander,Trans,,Checkmat,https://www.bjjheroes.com/?p=1757,"One of the top European grapplers of his generation, the Dane Alexander Trans started his career at theCheckmat academyin Copenhagen (Arte Suave), making a name for himself in the lower ranks ofBrazilian Jiu-Jitsuby conquering every important title in the international calendar before receiving his black belt fromLeo Vieiraon November 2011, he has since cemented his status of top-level BJJ competitor by medalling in most of the top IBJJF tournaments. Full Name:Alexander Riis Hillgsoe Trans",False
1567,Alessandro Capodeferro,Alessandro,Capodeferro,,Barbosa JJ,https://www.bjjheroes.com/?p=1567,Alessandro Capodeferro is the leader of the “Escola Bragantina de Jiu Jitsu” an affiliate of the Barbosa Jiu Jitsu team in Bragança Paulista (State of Sao Paulo). Capodeferro is an instructor and a competitor having achieved podium spots at several important tournaments such as the Sao Paulo State Championship and the World Cup. Full Name:n/a,False
13533,Alehander Mariano,Alehander,Mariano,,Atos,https://www.bjjheroes.com/?p=13533,"Alehander da Silva Mariano is a jiu-jitsu black belt underAndré Galvão, who worked extensively with Joelton “Creatina” as a colored belt, and represents theAtos Jiu-Jitsu Teamin the sport’s global circuit. Alehander Mariano first made waves in the grappling community as a brown belt, a time when the Rio de Janeiro native conquered numerous important medals in the International Brazilian Jiu-Jitsu Federation (IBJJF) circuit, including world titles in the Gi and in No-Gi. Full Name:Alehander da Silva Mariano",False
9166,Alexandre Barauna,Alexandre,Barauna,,GF Team,https://www.bjjheroes.com/?p=9166,"Alexandre Baraúna is aBrazilianjiu jitsublack belt underRicardode La RivaandJúlio César Pereira, being also a senior member of the world famous jiu jitsu association:Grappling Fight Team, commonly known as GF Team, a group Baraúna co-founded together with the aforementioned Júlio César andMarcos Belloin 2007. Well known as a leader among the group, coach Baraúna has helped raise the profile of high-end athletes such asRicardo Evangelista, Alex Costa and Luiz Néstor, to name a few. With the departure of Júlio César to the United States in 2017, Alexandre Baraúna became the team’s senior figure and reference in Rio de Janeiro. Full Name:Alexandre Baraúna da Conceição",False
