claim_id,student_person_id,student_name,promoter_person_id,teacher_name,claim_type,relationship_label,status,evidence_level,notes
bjj-14157-8394,14157,Achilles Rocha,8394,Vagner Rocha,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Crolin Gracie > Jorge Popovitch > Pablo Popovitch > Vagner Rocha > Achilles Rocha
bjj-559-355,559,Rodrigo Medeiros,355,Romero Cavalcanti,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Rodrigo “Comprido” Medeiros > Felipe Costa > Ryan Hall > Adam Benayoun
bjj-465-559,465,Felipe Costa,559,Rodrigo Medeiros,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Rodrigo “Comprido” Medeiros > Felipe Costa > Ryan Hall > Adam Benayoun
bjj-725-465,725,Ryan Hall,465,Felipe Costa,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Rodrigo “Comprido” Medeiros > Felipe Costa > Ryan Hall > Adam Benayoun
bjj-8814-725,8814,Adam Benayoun,725,Ryan Hall,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Rodrigo “Comprido” Medeiros > Felipe Costa > Ryan Hall > Adam Benayoun
bjj-3384-hist_carlos_sr,3384,Crolin Gracie,hist_carlos_sr,Carlos Gracie Senior,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > C. Gracie > Crolin Gracie > Jorge Popovitch > Pablo Popovitch > AJ Sousa > Adam Ferrara
bjj-5747-919,5747,Arthur Sousa,919,Pablo Popovitch,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > C. Gracie > Crolin Gracie > Jorge Popovitch > Pablo Popovitch > AJ Sousa > Adam Ferrara
bjj-8131-5747,8131,Adam Ferrara,5747,Arthur Sousa,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > C. Gracie > Crolin Gracie > Jorge Popovitch > Pablo Popovitch > AJ Sousa > Adam Ferrara
bjj-591-22,591,Ricardo Liborio,22,Carlson Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Carlson Gracie > Ricardo Libório > Adam Kayoom
bjj-1133-591,1133,Adam Kayoom,591,Ricardo Liborio,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Carlson Gracie > Ricardo Libório > Adam Kayoom
bjj-338-355,338,Ricardo Vieira,355,Romero Cavalcanti,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Ricardo Vieira > Alan Finfou > Adam Wardziński
bjj-289-338,289,Alan do Nascimento,338,Ricardo Vieira,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Ricardo Vieira > Alan Finfou > Adam Wardziński
bjj-7478-289,7478,Adam Wardzinski,289,Alan do Nascimento,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Ricardo Vieira > Alan Finfou > Adam Wardziński
bjj-527-2443,527,Oswaldo Fadda,2443,Luiz Franca,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Luis França > Oswaldo Fadda > Monir Salomão > Júlio César > Orlando Júnior > Ademir Barreto
bjj-3416-527,3416,Monir Salomao,527,Oswaldo Fadda,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Luis França > Oswaldo Fadda > Monir Salomão > Júlio César > Orlando Júnior > Ademir Barreto
bjj-v_orlando_junior-3416,v_orlando_junior,Orlando Júnior,3416,Monir Salomao,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Luis França > Oswaldo Fadda > Monir Salomão > Júlio César > Orlando Júnior > Ademir Barreto
bjj-13245-v_orlando_junior,13245,Ademir Barreto,v_orlando_junior,Orlando Júnior,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Luis França > Oswaldo Fadda > Monir Salomão > Júlio César > Orlando Júnior > Ademir Barreto
bjj-515-hist_helio,515,Royler Gracie,hist_helio,Helio Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Royler Gracie > Admilson Brites
bjj-6339-515,6339,Admilson Brites,515,Royler Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Royler Gracie > Admilson Brites
bjj-v_hilton_leao-v_yoshyo_kamada,v_hilton_leao,Hilton Leão,v_yoshyo_kamada,Yoshyo Kamada,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Yoshyo Kamada > Hilton Leão > João Eugênio > Ronaldo Lorentz > Admilson Gobi
bjj-v_joao_eugenio-v_hilton_leao,v_joao_eugenio,João Eugênio,v_hilton_leao,Hilton Leão,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Yoshyo Kamada > Hilton Leão > João Eugênio > Ronaldo Lorentz > Admilson Gobi
bjj-v_ronaldo_lorentz-v_joao_eugenio,v_ronaldo_lorentz,Ronaldo Lorentz,v_joao_eugenio,João Eugênio,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Yoshyo Kamada > Hilton Leão > João Eugênio > Ronaldo Lorentz > Admilson Gobi
bjj-v_admilson_gobi-v_ronaldo_lorentz,v_admilson_gobi,Admilson Gobi,v_ronaldo_lorentz,Ronaldo Lorentz,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Yoshyo Kamada > Hilton Leão > João Eugênio > Ronaldo Lorentz > Admilson Gobi
bjj-22-hist_helio,22,Carlson Gracie,hist_helio,Helio Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Carlson Gracie > Fernando “Pinduka > Leonardo Castello Branco > Paulo Rezende > Rodrigo Carvalho > Aniel Bonifacio
bjj-fernando-pinduka-22,fernando-pinduka,Fernando “Pinduka,22,Carlson Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Carlson Gracie > Fernando “Pinduka > Leonardo Castello Branco > Paulo Rezende > Rodrigo Carvalho > Aniel Bonifacio
bjj-935-fernando-pinduka,935,Leonardo Castello Branco,fernando-pinduka,Fernando “Pinduka,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Carlson Gracie > Fernando “Pinduka > Leonardo Castello Branco > Paulo Rezende > Rodrigo Carvalho > Aniel Bonifacio
bjj-6006-935,6006,Paulo Rezende,935,Leonardo Castello Branco,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Carlson Gracie > Fernando “Pinduka > Leonardo Castello Branco > Paulo Rezende > Rodrigo Carvalho > Aniel Bonifacio
bjj-8696-6006,8696,Rodrigo Carvalho,6006,Paulo Rezende,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Carlson Gracie > Fernando “Pinduka > Leonardo Castello Branco > Paulo Rezende > Rodrigo Carvalho > Aniel Bonifacio
bjj-9541-8696,9541,Aniel Bonifacio,8696,Rodrigo Carvalho,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Carlson Gracie > Fernando “Pinduka > Leonardo Castello Branco > Paulo Rezende > Rodrigo Carvalho > Aniel Bonifacio
bjj-297-hist_helio,297,Carlos Gracie Junior,hist_helio,Helio Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlos Gracie Junior > Jean Jacques Machado > Rigan Machado > John Will > David Hart > Adele Fornarino
bjj-88-297,88,Jean Jacques Machado,297,Carlos Gracie Junior,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlos Gracie Junior > Jean Jacques Machado > Rigan Machado > John Will > David Hart > Adele Fornarino
bjj-1817-88,1817,Rigan Machado,88,Jean Jacques Machado,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlos Gracie Junior > Jean Jacques Machado > Rigan Machado > John Will > David Hart > Adele Fornarino
bjj-705-1817,705,John Will,1817,Rigan Machado,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlos Gracie Junior > Jean Jacques Machado > Rigan Machado > John Will > David Hart > Adele Fornarino
bjj-v_david_hart-705,v_david_hart,David Hart,705,John Will,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlos Gracie Junior > Jean Jacques Machado > Rigan Machado > John Will > David Hart > Adele Fornarino
bjj-13498-v_david_hart,13498,Adele Fornarino,v_david_hart,David Hart,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlos Gracie Junior > Jean Jacques Machado > Rigan Machado > John Will > David Hart > Adele Fornarino
bjj-579-355,579,Octavio Couto,355,Romero Cavalcanti,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Otavio Couto > Adriana Martins Pinto
bjj-v_adriana_martins_pinto-579,v_adriana_martins_pinto,Adriana Martins Pinto,579,Octavio Couto,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Rolls Gracie > Romero Cavalcanti > Otavio Couto > Adriana Martins Pinto
bjj-1445-515,1445,Rolker Gracie,515,Royler Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Royler Gracie > Rolker Gracie > Guto Monteiro > Cristiano Carioca > Adriano Martins
bjj-guto-monteiro-1445,guto-monteiro,Guto Monteiro,1445,Rolker Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Royler Gracie > Rolker Gracie > Guto Monteiro > Cristiano Carioca > Adriano Martins
bjj-1108-guto-monteiro,1108,Cristiano Carioca,guto-monteiro,Guto Monteiro,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Royler Gracie > Rolker Gracie > Guto Monteiro > Cristiano Carioca > Adriano Martins
bjj-1116-1108,1116,Adriano Martins,1108,Cristiano Carioca,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > Helio Gracie > Royler Gracie > Rolker Gracie > Guto Monteiro > Cristiano Carioca > Adriano Martins
bjj-528-hist_carlos_sr,528,George Gracie,hist_carlos_sr,Carlos Gracie Senior,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > George Gracie > Octávio de Almeida Senior > Octávio de Almeida Junior > Adriano Silva
bjj-2216-528,2216,Octavio de Almeida,528,George Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > George Gracie > Octávio de Almeida Senior > Octávio de Almeida Junior > Adriano Silva
bjj-v_octavio_de_almeida_junior-2216,v_octavio_de_almeida_junior,Octávio de Almeida Junior,2216,Octavio de Almeida,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > George Gracie > Octávio de Almeida Senior > Octávio de Almeida Junior > Adriano Silva
bjj-909-v_octavio_de_almeida_junior,909,Adriano Silva,v_octavio_de_almeida_junior,Octávio de Almeida Junior,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie > George Gracie > Octávio de Almeida Senior > Octávio de Almeida Junior > Adriano Silva
bjj-v_eduardo_de_lima-297,v_eduardo_de_lima,Eduardo de Lima),297,Carlos Gracie Junior,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Sr. > Helio Gracie > Carlos Gracie Junior > Eduardo de Lima) > AJ Agazarm
bjj-4328-v_eduardo_de_lima,4328,AJ Agazarm,v_eduardo_de_lima,Eduardo de Lima),black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Sr. > Helio Gracie > Carlos Gracie Junior > Eduardo de Lima) > AJ Agazarm
bjj-297-hist_carlos_sr,297,Carlos Gracie Junior,hist_carlos_sr,Carlos Gracie Senior,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Sr. > Carlos Gracie Junior > Helio Soneca > Alan Belcher
bjj-helio-soneca-moreira-297,helio-soneca-moreira,Helio Soneca,297,Carlos Gracie Junior,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Sr. > Carlos Gracie Junior > Helio Soneca > Alan Belcher
bjj-2189-helio-soneca-moreira,2189,Alan Belcher,helio-soneca-moreira,Helio Soneca,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Sr. > Carlos Gracie Junior > Helio Soneca > Alan Belcher
bjj-5998-22,5998,Carlson Gracie Junior,22,Carlson Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Carlson Gracie Júnior > Alan Moraes
bjj-2583-5998,2583,Alan Moraes,5998,Carlson Gracie Junior,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Helio Gracie > Carlson Gracie > Carlson Gracie Júnior > Alan Moraes
bjj-4317-88,4317,Eddie Bravo,88,Jean Jacques Machado,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Hélio Gracie > Carlos Gracie Júnior > Jean Jaques Machado > Eddie Bravo > Denny Prokopos > Adam Sachnoff > Alan Sanchez
bjj-1498-4317,1498,Denny Prokopos,4317,Eddie Bravo,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Hélio Gracie > Carlos Gracie Júnior > Jean Jaques Machado > Eddie Bravo > Denny Prokopos > Adam Sachnoff > Alan Sanchez
bjj-v_adam_sachnoff-1498,v_adam_sachnoff,Adam Sachnoff,1498,Denny Prokopos,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Hélio Gracie > Carlos Gracie Júnior > Jean Jaques Machado > Eddie Bravo > Denny Prokopos > Adam Sachnoff > Alan Sanchez
bjj-12235-v_adam_sachnoff,12235,Alan Sanchez,v_adam_sachnoff,Adam Sachnoff,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Hélio Gracie > Carlos Gracie Júnior > Jean Jaques Machado > Eddie Bravo > Denny Prokopos > Adam Sachnoff > Alan Sanchez
bjj-696-579,696,Alberto Carmona,579,Octavio Couto,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: M. Maeda > Carlos Gracie > Helio G > Rolls G. > R. Cavalcanti > Otavio Couto > Alberto Carmona
bjj-374-297,374,Vinicius Magalhaes,297,Carlos Gracie Junior,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Sr. > Helio Gracie > Carlos Gracie Junior > Vinicius Magalhães > Alberto Crane
bjj-2611-374,2611,Alberto Crane,374,Vinicius Magalhaes,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Mitsuyo Maeda > Carlos Gracie Sr. > Helio Gracie > Carlos Gracie Junior > Vinicius Magalhães > Alberto Crane
bjj-2003-hist_carlos_sr,2003,Reyson Gracie,hist_carlos_sr,Carlos Gracie Senior,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Reyson Gracie > Luiz Façanha > Cássio Façanha > Ricardo Candido > Marcos Santana > Wellyton Menezes/Rildo Paiva > Alef Brito
bjj-v_luiz_facanha-2003,v_luiz_facanha,Luiz Façanha,2003,Reyson Gracie,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Reyson Gracie > Luiz Façanha > Cássio Façanha > Ricardo Candido > Marcos Santana > Wellyton Menezes/Rildo Paiva > Alef Brito
bjj-v_cassio_facanha-v_luiz_facanha,v_cassio_facanha,Cássio Façanha,v_luiz_facanha,Luiz Façanha,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Reyson Gracie > Luiz Façanha > Cássio Façanha > Ricardo Candido > Marcos Santana > Wellyton Menezes/Rildo Paiva > Alef Brito
bjj-v_ricardo_candido-v_cassio_facanha,v_ricardo_candido,Ricardo Candido,v_cassio_facanha,Cássio Façanha,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Reyson Gracie > Luiz Façanha > Cássio Façanha > Ricardo Candido > Marcos Santana > Wellyton Menezes/Rildo Paiva > Alef Brito
bjj-6577-v_ricardo_candido,6577,Marcos Santana,v_ricardo_candido,Ricardo Candido,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Reyson Gracie > Luiz Façanha > Cássio Façanha > Ricardo Candido > Marcos Santana > Wellyton Menezes/Rildo Paiva > Alef Brito
bjj-v_wellyton_menezes_rildo_paiva-6577,v_wellyton_menezes_rildo_paiva,Wellyton Menezes/Rildo Paiva,6577,Marcos Santana,black_belt_awarded_by,Faixa-preta concedida por,confirmed,high,Lineage declarada no perfil: Carlos Gracie > Reyson Gracie > Luiz Façanha > Cássio Façanha > Ricardo Candido > Marcos Santana > Wellyton Menezes/Rildo Paiva > Alef Brito
